mainshock_id,mainshock_mag,mainshock_depth_km,mainshock_lat,mainshock_lon,mainshock_time,mainshock_place,total_aftershocks,duration_hours
pr2020007007,6.4,6,17.9578,-66.8113,2020-01-07T08:24:27.370000,"4 km SSE of Indios, Puerto Rico",2863,719.0463083333333
us70006wuf,6.4,10,62.358,171.0611,2020-01-09T08:38:08.278000,"Chukotskiy Avtonomnyy Okrug, Russia",11,202.73476333333335
us60007anp,6,5.55,39.8353,77.1084,2020-01-19T13:27:56.630000,"104 km ENE of Kashgar, China",11,484.8037816666667
us60007djn,6.2,10,51.9836,-177.855,2020-01-23T05:53:02.618000,"84 km W of Adak, Alaska",434,690.1667383333333
us60007ewc,6.7,10,38.4312,39.0609,2020-01-24T17:55:14.147000,"13 km N of Do?anyol, Turkey",26,569.7838188888888
us60007g8m,6.1,17,51.1338,-179.8892,2020-01-26T06:31:55.398000,"240 km WSW of Adak, Alaska",135,714.1632800000001
us60007iig,6.1,10,18.9457,-80.7411,2020-01-28T21:55:16.450000,"55 km SE of East End, Cayman Islands",21,698.500726388889
us70007jwn,6,19,5.4543,126.5692,2020-02-06T13:40:05.791000,"109 km SSE of Pondaguitan, Philippines",21,654.6021949999999
us70007lik,6,16,-59.9212,-25.5526,2020-02-08T14:32:58.625000,South Sandwich Islands region,13,684.3290002777778
us70007v9g,6,10,38.4958,44.3732,2020-02-23T16:00:31.626000,"37 km ESE of Özalp, Turkey",15,591.2238741666667
us60008hzl,6.2,20.68,-11.0521,115.1378,2020-03-18T17:45:39.299000,"249 km S of Nusa Dua, Indonesia",13,680.4233277777778
us70008fi4,7.5,57.8,48.9638,157.6955,2020-03-25T02:49:21.160000,"221 km SSE of Severo-Kuril’sk, Russia",32,530.6780736111111
us70008jr5,6.5,12.06,44.4646,-115.1175,2020-03-31T23:52:30.781000,"Stanley, Idaho",640,714.0656080555555
us70008peg,6,42,1.395,126.4381,2020-04-05T18:37:10.876000,"124 km WNW of Ternate, Indonesia",11,684.6033644444445
us60009c06,6.1,19,-6.5337,154.2347,2020-04-25T02:53:06.698000,"140 km W of Panguna, Papua New Guinea",13,664.2229569444445
us700098qd,6.5,10,34.1818,25.7101,2020-05-02T12:51:05.561000,"91 km S of Néa Anatolí, Greece",119,688.4381005555556
us70009b14,6.8,96,-6.7761,129.7852,2020-05-06T13:53:55.940000,Banda Sea,16,649.3617541666666
